imdb_id|title|year|rated|released|runtime|genre|director|writers|actors|plot|country|language|metascore|poster|rating|votes|budget|opening_weekend|gross|production|parent_id|type|session|episode_id|status
tt0071807|The Man with the Golden Gun|1974||20 December 1974 (UK)|125 min|Action, Adventure, Thriller|Guy Hamilton|Richard Maibaum  (screenplay), Tom Mankiewicz  (screenplay)|Roger Moore , Christopher Lee , Britt Ekland|Scaramanga is a hit-man who charges a million dollars per job. He becomes linked to the death of a scientist working on a powerful solar cell, and James Bond is called in to investigate. As he tracks down Scaramanga, he realises that he is highly respected by the killer, but will this prove to be an advantage in the final showdown?|UK, USA|English, Thai, Cantonese|0|https://images-na.ssl-images-amazon.com/images/M/MV5BODg3NjQ0MjMwN15BMl5BanBnXkFtZTcwNTY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.8|77,967|$13,000,000|N/A|$21,000,000|Eon Productions||movie|||true
tt0076752|The Spy Who Loved Me|1977|PG|8 July 1977 (UK)|125 min|Action, Adventure, Thriller|Lewis Gilbert|Christopher Wood  (screenplay), Richard Maibaum  (screenplay)|Roger Moore , Barbara Bach , Curd Jürgens|James Bond is back again and his new mission is to find out how a Royal Navy Polaris submarine holding sixteen nuclear warheads simply disappears whilst on patrol. Bond joins Major Anya Amasova and takes on a a web-handed mastermind, known as Karl Stromberg, as well as his henchman Jaws, who has a mouthful of metal teeth. Bond must track down the location of the missing submarine before the warheads are fired.|UK|English, Italian, Arabic|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MTA5NDE1NF5BMl5BanBnXkFtZTcwMDIzMzY0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|7.1|80,555|$14,000,000|N/A|$46,800,000|Eon Productions||movie|||true
tt0079574|Moonraker|1979|PG|28 June 1979 (UK)|126 min|Action, Adventure, Sci-Fi|Lewis Gilbert|Christopher Wood  (screenplay)|Roger Moore , Lois Chiles , Michael Lonsdale|James Bond is back for another mission and this time, he is blasting off into space. A spaceship traveling through space is mysteriously hi-jacked and Bond must work quickly to find out who was behind it all. He starts with the rockets creators, Drax Industries and the man behind the organisation, Hugo Drax. On his journey he ends up meeting Dr. Holly Goodhead and encounters the metal-toothed Jaws once again.|UK, France|English, Italian, Portuguese|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyMjUyNzY4MF5BMl5BanBnXkFtZTcwNzIyMzY0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.3|73,481|$34,000,000|N/A|$62,700,000|Les Productions Artistes Associés, Eon Productions||movie|||true
tt0082398|For Your Eyes Only|1981|PG|26 June 1981 (UK)|127 min|Action, Adventure, Thriller|John Glen|Richard Maibaum  (screenplay), Michael G. Wilson  (screenplay)|Roger Moore , Carole Bouquet , Topol|After disposing of a familiar looking face, Bond is sent to recover a communication device, known as an ATAC, which went down with a British Spy ship as it sunk. Bond must hurry though, as the Russians are also out for this device. On his travels, he also meets Melina Havelock, whose parents were brutally murdered. Bond also encounters both Aristotle Kristatos and Milos Colombo. Each of them are accusing the other of having links with with the Russian's. Bond must team up with Melina, solve who the true ally is and find the ATAC before it's too late.|UK|English, Greek, Italian|0|https://images-na.ssl-images-amazon.com/images/M/MV5BOTEwNzY5OTgyNl5BMl5BanBnXkFtZTcwMDAxNzczNA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.8|75,718|$28,000,000|N/A|$62,300,000|Eon Productions||movie|||true
tt0086034|Octopussy|1983|PG|7 June 1983 (UK)|131 min|Action, Adventure, Thriller|John Glen|George MacDonald Fraser  (screen story and screenplay), Richard Maibaum  (screen story and screenplay)|Roger Moore , Maud Adams , Louis Jourdan|James Bond's next mission sends him to the circus. A British agent was murdered and found holding onto a priceless Faberge egg. Kamal Kahn buys the egg at an auction, but Bond becomes suspicious when Kahn meets up with Russian General, Orlov. Bond soon finds out that Kahn's and Orlov's plan is to blow a nuclear device in an American Air Force Base. Bond teams up with a circus group, which are headed by the beautiful Octopussy, who is also close friend of Kahn. Will Bond be quick enough, before World War III begins?|UK, USA|English, Russian, German, Spanish|63|https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2MDE0NjE1NV5BMl5BanBnXkFtZTcwNjYyMzY0NA@@._V1.._UX182_CR0,0,182,268_AL_.jpg|6.6|78,163|$27,500,000|N/A|$67,900,000|United Artists, Eon Productions, Danjaq||movie|||true
tt0086006|Never Say Never Again|1983|PG|7 October 1983 (USA)|134 min|Action, Adventure, Thriller|Irvin Kershner|Kevin McClory  (based on an original story by), Jack Whittingham  (based on an original story by)|Sean Connery , Kim Basinger , Klaus Maria Brandauer|SPECTRE agents under the command of Ernst Blofeld infiltrate a US air force base situated in the UK and steal two Tomahawk cruise missiles. When NATO is held to ransom, the British reactive their 00 agents and send James Bond to recapture the warheads and kill Blofeld.|UK, USA, West Germany|English, French, Spanish, Arabic|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjgzMDkwOF5BMl5BanBnXkFtZTcwMzM4NzI0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.2|50,967|$36,000,000|N/A|$55,500,000|TaliaFilm II Productions, Woodcote, Producers Sales Organization (PSO)||movie|||true
tt0090264|A View to a Kill|1985|PG|13 June 1985 (UK)|131 min|Action, Adventure, Thriller|John Glen|Richard Maibaum  (screenplay), Michael G. Wilson  (screenplay)|Roger Moore , Christopher Walken , Tanya Roberts|James Bond has one more mission. Bond returns from his travels in the USSR with a computer chip. This chip is capable of withstanding a nuclear electromagnetic pulse that would otherwise destroy a normal chip. The chip was created by Zorin Industries, and Bond heads off to investigate its owner, Max Zorin. Zorin may only seem like a innocent guilty man, but is really planning to set off an earthquake in San Andreas which will wipe out all of Silicon Valley. As well as Zorin, Bond must also tackle May Day and equally menacing companion of Zorin, whilst dragging Stacy Sutton along for the ride.|UK|English|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMTYzOTIwM15BMl5BanBnXkFtZTcwODY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.3|72,230|$30,000,000|N/A|$50,300,000|Eon Productions||movie|||true
tt0093428|The Living Daylights|1987|PG|30 June 1987 (UK)|130 min|Action, Adventure, Thriller|John Glen|Richard Maibaum  (screenplay), Michael G. Wilson  (screenplay)|Timothy Dalton , Maryam d'Abo , Jeroen Krabbé|James Bond 007's mission is to firstly, organise the defection of a top Soviet general. When the general is re-captured, Bond heads off to find why an ally of General Koskov was sent to murder him. Bond's mission continues to take him to Afghanistan, where he must confront an arms dealer known as Brad Whitaker. Everything eventually reveals its self to Bond.|UK|English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pushto|0|https://images-na.ssl-images-amazon.com/images/M/MV5BOTg2MDUzNDIxMV5BMl5BanBnXkFtZTcwNjY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.7|72,920|$30,000,000|N/A|$51,185,897|Eon Productions||movie|||true
tt0097742|Licence to Kill|1989|PG|14 July 1989 (UK)|133 min|Action, Adventure, Thriller|John Glen|Michael G. Wilson , Richard Maibaum|Timothy Dalton , Robert Davi , Carey Lowell|James Bond is on possibly his most brutal mission yet. Bond's good friend, Felix Leiter, is left near death, by drug baron Franz Sanchez. Bond sets off on the hunt for Sanchez, but not everyone is happy. MI6 does not feel Sanchez is their problem and strips Bond of his license to kill making Bond more dangerous than ever. Bond gains the aid of one of Leiter's friends, known as Pam Bouvier and sneaks his way into the drug factories, which Sanchez owns. Will Bond be able to keep his identity secret, or will Sanchez see Bond's true intentions?|UK, USA|English, Spanish|0|https://images-na.ssl-images-amazon.com/images/M/MV5BODY3M2I0NGItYzJhNy00M2NiLThhMDgtNjZkNjA1NTQzMDM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg|6.6|77,677|$32,000,000|N/A|$34,667,015|Danjaq, Eon Productions, United Artists||movie|||true
tt0113189|GoldenEye|1995|PG|7 December 1995 (Singapore)|130 min|Action, Adventure, Thriller|Martin Campbell|Ian Fleming  (characters), Michael France  (story)|Pierce Brosnan , Sean Bean , Izabella Scorupco|When a deadly satellite weapon system falls into the wrong hands, only Agent 007 can save the world from certain disaster. Armed with his license to kill, Bond races to Russia in search of the stolen access codes for Goldeneye, an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.|UK, USA|English, Russian, Spanish|65|https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg|7.2|206,767|$60,000,000|£12,393,233(UK)|$106,635,996|Eon Productions, United Artists||movie|||true
tt0120347|Tomorrow Never Dies|1997|PG|24 December 1997 (Singapore)|119 min|Action, Adventure, Thriller|Roger Spottiswoode|Bruce Feirstein|Pierce Brosnan , Jonathan Pryce , Michelle Yeoh|Agent James Bond 007 is on a mission which includes a media tycoon, his former lover and a Chinese agent. Elliot Carver wants to complete his global media empire, but in order for this to work, he must achieve broadcasting rights in China. Carver wants to start up World War III by starting a confrontation over British and Chinese waters. Bond gains the help of Wai Lin on his quest to stop him, but how will Bond feel when he meets up with his former lover, who is now Carver's wife.|UK, USA|English, German, Danish, Mandarin, Cantonese|52|https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTk2ODQxNV5BMl5BanBnXkFtZTcwOTY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.5|155,565|$110,000,000|$6,100,000(Non-US)|$125,332,007|Eon Productions, Metro-Goldwyn-Mayer (MGM), United Artists||movie|||true
tt0143145|The World Is Not Enough|1999|PG|18 November 1999 (Singapore)|128 min|Action, Adventure, Thriller|Michael Apted|Neal Purvis  (story), Robert Wade  (story)|Pierce Brosnan , Sophie Marceau , Robert Carlyle|James Bond is back. An oil tycoon is murdered in MI6 and Bond is sent to protect his daughter. Renard, who has a bullet lodged in his brain from a previous agent, is secretly planning the destruction of a pipeline. Bond gains a hand from a research scientist, Dr. Christmas Jones who witnesses the action which happens when Bond meets up with Renard, but Bond becomes suspicious about Elektra King, especially when Bond's boss, M goes missing. Bond must work quickly to prevent Renard from destroying Europe.|UK, USA|English, Russian, Spanish|57|https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.4|163,287|$135,000,000|$35,519,007(USA)|$126,930,660|Danjaq, Eon Productions, Metro-Goldwyn-Mayer (MGM)||movie|||true
tt0246460|Die Another Day|2002|M18|5 December 2002 (Singapore)|133 min|Action, Adventure, Thriller|Lee Tamahori|Ian Fleming  (characters), Neal Purvis|Pierce Brosnan , Halle Berry , Rosamund Pike|Pierce Brosnan gives one last mission as James Bond. Starting off in North Korea, Bond is betrayed and captured. 14 months later, Bond is set free, but traded for Zao who was captured by MI6. When back in his world, Bond sets off to track down Zao. Bond gets caught up in yet another scheme which sends him to millionaire Gustav Graves. Another MI6 agent known as Miranda Frost is also posing as a friend of Graves. Bond is invited to a presentation held by Graves about a satellite found in space which can project a huge laser beam. Bond must stop this madman with a fellow American agent, known as Jinx. Whilst Bond tries to stop Graves and Zao, will he finally reveal who betrayed him?|UK, USA|English, Korean, Cantonese, Spanish, German, Icelandic, Italian|56|https://images-na.ssl-images-amazon.com/images/M/MV5BODNkYmIwYTMtYzdhNy00YWE3LThkYmEtNzA5ZTE5YmVjYzZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg|6.1|177,020|$142,000,000|£9,122,344(UK)|$160,201,106|Eon Productions, Danjaq, Metro-Goldwyn-Mayer (MGM)||movie|||true
tt0381061|Casino Royale|2006|PG|16 November 2006 (Singapore)|144 min|Action, Adventure, Thriller|Martin Campbell|Neal Purvis  (screenplay), Robert Wade  (screenplay)|Daniel Craig , Eva Green , Judi Dench|James Bond goes on his first ever mission as a 00. Le Chiffre is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe among the terrorist market. The boss of MI6, known simply as M sends Bond, along with Vesper Lynd to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter, Mathis and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe?|UK, Czech Republic, USA, Germany, Bahamas, Italy|English, French|80|https://images-na.ssl-images-amazon.com/images/M/MV5BMDI5ZWJhOWItYTlhOC00YWNhLTlkNzctNDU5YTI1M2E1MWZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg|8.0|498,456|$150,000,000|£13,370,969(UK)|$167,007,184|Columbia Pictures, Eon Productions, Casino Royale Productions||movie|||true
tt0830515|Quantum of Solace|2008|G|24 January 2009 (Japan)|106 min|Action, Adventure, Thriller|Marc Forster|Paul Haggis , Neal Purvis|Daniel Craig , Olga Kurylenko , Mathieu Amalric|Is there solace in revenge? Bond and M sniff a shadowy international network of power and corruption reaping billions. As Bond pursues the agents of an assassination attempt on M, all roads lead to Dominic Greene, a world-renowned developer of green technology. Greene, a nasty piece of work, is intent on securing a barren area of Bolivia in exchange for assisting a strongman stage a coup there. The CIA looks the other way, and only Bond, with help from a retired spy and from a mysterious beauty, stands in Greene's way. M wonders if she can trust Bond, or if vengeance possesses him. Beyond that, can anyone drawn to Bond live to tell the tale?|UK, USA|English, Spanish, Italian, French, Swiss German, German|58|https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MjI4MDI5MF5BMl5BanBnXkFtZTcwODkwNjk3MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.6|350,750|$200,000,000|£15,384,217(UK)|$168,368,427|Metro-Goldwyn-Mayer (MGM), Columbia Pictures, Eon Productions||movie|||true
tt1074638|Skyfall|2012|G|1 December 2012 (Japan)|143 min|Action, Adventure, Thriller|Sam Mendes|Neal Purvis , Robert Wade|Daniel Craig , Javier Bardem , Naomie Harris|When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.|UK, USA|English|81|https://images-na.ssl-images-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg|7.8|551,775|$200,000,000|$88,364,714(USA)|$304,360,277|Eon Productions, B23, Columbia Pictures||movie|||true
tt2379713|Spectre|2015|G|4 December 2015 (Japan)|148 min|Action, Adventure, Thriller|Sam Mendes|John Logan  (screenplay), Neal Purvis  (screenplay)|Daniel Craig , Christoph Waltz , Léa Seydoux|A cryptic message from the past sends James Bond on a rogue mission to Mexico City and eventually Rome, where he meets Lucia, the beautiful and forbidden widow of an infamous criminal. Bond infiltrates a secret meeting and uncovers the existence of the sinister organisation known as SPECTRE. Meanwhile back in London, Max Denbigh, the new head of the Centre of National Security, questions Bond's actions and challenges the relevance of MI6 led by M. Bond covertly enlists Moneypenny and Q to help him seek out Madeleine Swann, the daughter of his old nemesis Mr White, who may hold the clue to untangling the web of SPECTRE. As the daughter of the assassin, she understands Bond in a way most others cannot. As Bond ventures towards the heart of SPECTRE, he learns a chilling connection between himself and the enemy he seeks.|UK, USA|English, Spanish, Italian, German, French|60|https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_UX182_CR0,0,182,268_AL_.jpg|6.8|313,629|$245,000,000|$70,403,148(USA)|$200,074,175|B24, Columbia Pictures, Danjaq||movie|||true
tt2382320|Bond 25|2019||2019 (UK)|0|Action, Adventure, Thriller||Ian Fleming  (characters), Neal Purvis  (screenplay)|Daniel Craig , Naomie Harris , Ben Whishaw|The plot is unknown.|USA, UK|English|0||0|0|N/A|N/A|N/A|Danjaq, Eon Productions, Metro-Goldwyn-Mayer (MGM)|0|movie|0|0|true
